,price
2005-01-03,100.00000000000004
2005-01-04,100.1982284434812
2005-01-05,99.41864990493477
2005-01-06,99.29855275825715
2005-01-07,97.36675735226274
2005-01-10,99.1898272680386
2005-01-11,100.82091941202708
2005-01-12,100.8832002353041
2005-01-13,103.33523927129053
2005-01-14,104.3184011517073
2005-01-17,102.27485642740551
2005-01-18,103.02335982786705
2005-01-19,100.78364486583824
2005-01-20,102.66854649391027
2005-01-21,102.46965926841263
2005-01-24,101.967345713574
2005-01-25,100.3637657310045
2005-01-26,103.01941362724335
2005-01-27,102.58298736221879
2005-01-28,101.53362956256908
2005-01-31,100.66397205374237
2005-02-01,101.76700965415581
2005-02-02,102.50432286877906
2005-02-03,103.35468092832333
2005-02-04,104.25366268512943
2005-02-07,109.20289689629266
2005-02-08,108.13805402252643
2005-02-09,106.83402955403685
2005-02-10,104.84637763873948
2005-02-11,106.19096021242365
2005-02-14,108.77615975223897
2005-02-15,108.4123043730978
2005-02-16,106.33341569949339
2005-02-17,104.33044240650811
2005-02-18,105.74908040465517
2005-02-21,107.40621438408344
2005-02-22,108.60909750746309
2005-02-23,106.93741654994236
2005-02-24,107.39613062000977
2005-02-25,107.58255865442761
2005-02-28,108.0119508471479
2005-03-01,110.01500679996958
2005-03-02,110.46605804514648
2005-03-03,112.0380617020653
2005-03-04,112.11109899772455
2005-03-07,112.73348857738536
2005-03-08,114.21776303370822
2005-03-09,110.51389599599958
2005-03-10,109.64576894305796
2005-03-11,108.42360800469581
2005-03-14,106.81748444148451
2005-03-15,106.08249170045165
2005-03-16,109.54540043546697
2005-03-17,107.38397944607703
2005-03-18,109.60919217203754
2005-03-21,105.52829928951698
2005-03-22,104.66422219197892
2005-03-23,104.95245270922781
2005-03-24,106.22867801090939
2005-03-25,107.81716637456607
2005-03-28,109.62771946359875
2005-03-29,108.69690257564392
2005-03-30,107.50432787496264
2005-03-31,109.46549686878701
2005-04-01,108.91341894253863
2005-04-04,105.8040408117288
2005-04-05,103.10663908185532
2005-04-06,100.95283953126537
2005-04-07,101.97998238477014
2005-04-08,102.21500036012183
2005-04-11,103.69603912595595
2005-04-12,102.63772856407431
2005-04-13,102.91081793903939
2005-04-14,104.25266730122405
2005-04-15,103.45727258618955
2005-04-18,104.41688080668798
2005-04-19,102.81784907231142
2005-04-20,101.91265149267727
2005-04-21,100.9738189971558
2005-04-22,98.26394611038059
2005-04-25,99.24143574933615
2005-04-26,98.13734564762913
2005-04-27,98.08212711266944
2005-04-28,99.04421170796972
2005-04-29,99.94031189571959
2005-05-02,101.33229802158372
2005-05-03,101.02777725047679
2005-05-04,100.00541726060587
2005-05-05,99.74614836419795
2005-05-06,96.02301679961225
2005-05-09,92.9297467502871
2005-05-10,90.18316036622046
2005-05-11,88.14799805934281
2005-05-12,88.85386887304455
2005-05-13,87.02460260365686
2005-05-16,86.22971785595752
2005-05-17,88.66115626094614
2005-05-18,87.89374966815988
2005-05-19,89.25978862013822
2005-05-20,87.3679457888686
2005-05-23,86.90023150891827
2005-05-24,85.02764043543152
2005-05-25,84.32371269731199
2005-05-26,85.82856480160508
2005-05-27,82.55211120584619
2005-05-30,83.27676613323032
2005-05-31,83.64426586877235
2005-06-01,82.48651349108259
2005-06-02,79.83116241037357
2005-06-03,79.89121902222854
2005-06-06,78.89780729875528
2005-06-07,79.23714339834902
2005-06-08,79.2089004603686
2005-06-09,81.98745792405032
2005-06-10,81.48758637479035
2005-06-13,79.60257184724301
2005-06-14,79.85086956116336
2005-06-15,80.17188897079556
2005-06-16,82.54155945209114
2005-06-17,84.00498111436494
2005-06-20,84.59761457374596
2005-06-21,87.29826356627838
2005-06-22,84.96866290686911
2005-06-23,83.70837462176407
2005-06-24,81.94691460805164
2005-06-27,81.1775606926496
2005-06-28,78.68460284831846
2005-06-29,79.18614031943662
2005-06-30,79.04787352900215
2005-07-01,77.9843396141704
2005-07-04,77.26676343170692
2005-07-05,77.52329753441411
